Country,Household estimate (tonnes/year),Retail estimate (tonnes/year),Food service estimate (tonnes/year),Region,UN Region,GDP_PC,Population (2023)
Mali,2018765,307456,543506,Sub-Saharan Africa,Africa,2656,23293698
Timor-Leste,111643,20224,35752,South-eastern Asia,Asia,3637,1360596
Benin,1175297,184573,326280,Sub-Saharan Africa,Africa,4300,13712828
Djibouti,96962,15227,26918,Sub-Saharan Africa,Africa,6894,1136455
Portugal,861786,131011,261488,Southern Europe,Europe,44707,10247605
Laos,618994,112133,198223,South-eastern Asia,Asia,9801,7633779
North Korea,2070528,401425,709621,Eastern Asia,Asia,1700,26160821
Switzerland,615790,110067,343656,Western Europe,Europe,87963,8796669
Solomon Islands,60963,10476,18519,Oceania,Oceania,2414,740424
Haiti,936940,176157,311403,Latin America and the Caribbean,Americas,3248,11724763
Jordan,939897,157993,279293,Western Asia,Asia,12893,11337052
Tuvalu,878,181,321,Oceania,Oceania,5797,11396
Jamaica,213552,46112,81515,Latin America and the Caribbean,Americas,12887,2825544
Central African Republic,487305,74216,131196,Sub-Saharan Africa,Africa,1127,5742315
Gabon,199748,33980,60068,Sub-Saharan Africa,Africa,19197,2436566
Vanuatu,27296,4691,8292,Oceania,Oceania,3001,334506
Ethiopia,10327236,1752936,3098760,Sub-Saharan Africa,Africa,3724,126527060
Seychelles,9128,1252,2498,Sub-Saharan Africa,Africa,39662,107660
Egypt,9136941,1570093,2775538,Northern Africa,Africa,16979,112716598
Philippines,9334477,1690968,2989216,South-eastern Asia,Asia,11420,117337368
Ireland,267073,62551,274135,Northern Europe,Europe,145196,5056935
Latvia,145263,24427,48755,Northern Europe,Europe,40256,1830211
United States Virgin Islands,7732,1340,2675,Latin America and the Caribbean,Americas,37000,98750
Paraguay,510256,110179,194770,Latin America and the Caribbean,Americas,15578,6861524
Kiribati,10704,1839,3251,Oceania,Oceania,2381,133515
Thailand,5478532,1088960,1925014,South-eastern Asia,Asia,22675,71801279
Monaco,2795,500,997,Western Europe,Europe,115700,36297
Bhutan,60000,11935,21098,Southern Asia,Asia,14170,787424
Andorra,6497,988,1971,Southern Europe,Europe,68998,80088
Indonesia,20938252,4232646,7482277,South-eastern Asia,Asia,15855,277534122
Saint Lucia,13241,2859,5054,Latin America and the Caribbean,Americas,18435,180251
Cuba,820910,177259,313349,Latin America and the Caribbean,Americas,12300,11194449
Libya,513146,106002,187385,Northern Africa,Africa,24599,6888388
Bulgaria,478667,109483,193539,Eastern Europe,Europe,32006,6687717
Palau,1416,231,460,Oceania,Oceania,16394,18058
Vietnam,7346717,1508689,2666991,South-eastern Asia,Asia,14458,98858950
Maldives,37688,8305,14681,Southern Asia,Asia,36358,521021
Botswana,211802,36030,63693,Sub-Saharan Africa,Africa,19398,2675352
Lithuania,210241,35354,70564,Northern Europe,Europe,49266,2718352
Sri Lanka,1617738,333508,589559,Southern Asia,Asia,14223,21893579
Antigua and Barbuda,7178,1244,2483,Latin America and the Caribbean,Americas,24012,94298
Tonga,7912,1634,2889,Oceania,Oceania,7125,107773
Bolivia,922012,180068,318315,Latin America and the Caribbean,Americas,10327,12388571
Nicaragua,524188,102373,180970,Latin America and the Caribbean,Americas,7601,7046310
Venezuela,2065461,445994,788407,Latin America and the Caribbean,Americas,8028,28838499
Isle of Man,6445,1084,2163,Northern Europe,Europe,84600,84710
Singapore,465355,74361,148418,South-eastern Asia,Asia,133895,6014723
Barbados,21215,3677,7339,Latin America and the Caribbean,Americas,18858,281995
Papua New Guinea,798767,137260,242642,Oceania,Oceania,4516,10329931
Spain,3613954,598760,1195080,Southern Europe,Europe,49448,47519628
Dominica,5201,1123,1985,Latin America and the Caribbean,Americas,14161,73040
