Country,combined figures (kg/capita/year),Household estimate (kg/capita/year),Household estimate (tonnes/year),Retail estimate (kg/capita/year),Retail estimate (tonnes/year),Food service estimate (kg/capita/year),Food service estimate (tonnes/year),Region
Ireland,124,55,267073,13,62551,56,274135,Northern Europe
Isle of Man,115,76,6445,13,1084,26,2163,Northern Europe
Israel,178,100,848395,51,437997,27,233752,Western Asia
Italy,97,67,4059806,4,219552,26,1548291,Southern Europe
Jamaica,116,72,213552,16,46112,28,81515,Latin America and the Caribbean
Japan,88,64,8159891,9,1095308,15,1870735,Eastern Asia
Jordan,137,93,939897,16,157993,28,279293,Western Asia
Kazakhstan,120,76,1404584,16,290148,28,512910,Central Asia
Kenya,141,99,5217367,11,576411,31,1637020,Sub-Saharan Africa
Kiribati,135,91,10704,16,1839,28,3251,Micronesia
Kuwait,134,95,397706,13,53898,26,107577,Western Asia
Kyrgyzstan,135,91,583951,16,100346,28,177387,Central Asia
Lao People's Dem. Rep.,130,86,618994,16,112133,28,198223,South-eastern Asia
Latvia,115,76,145263,13,24427,26,48755,Northern Europe
Lebanon,149,105,717491,16,107225,28,189547,Western Asia
Lesotho,144,100,211661,16,33240,28,58760,Sub-Saharan Africa
Liberia,147,103,507043,16,77222,28,136510,Sub-Saharan Africa
Libya,120,76,513146,16,106002,28,187385,Northern Africa
Liechtenstein,111,72,2724,13,487,26,972,Western Europe
Lithuania,115,76,210241,13,35354,26,70564,Northern Europe
Luxembourg,117,89,54951,7,4433,21,12868,Western Europe
Madagascar,147,103,2769594,16,421806,28,745649,Sub-Saharan Africa
Malawi,147,103,1913062,16,291357,28,515048,Sub-Saharan Africa
Malaysia,260,91,2921577,79,2518199,90,2861537,South-eastern Asia
Maldives,115,71,37688,16,8305,28,14681,Southern Asia
Mali,147,103,2018765,16,307456,28,543506,Sub-Saharan Africa
Malta,168,129,56812,13,5642,26,11261,Southern Europe
Marshall Islands,120,76,4452,16,920,28,1626,Micronesia
Mauritania,144,100,450720,16,70783,28,125127,Sub-Saharan Africa
Mauritius,132,93,118626,13,16267,26,32467,Sub-Saharan Africa
Mexico,138,94,11979364,16,1995310,28,3527217,Latin America and the Caribbean
Micronesia (Fed. States of),135,91,10358,16,1780,28,3146,Micronesia
Monaco,111,72,2795,13,500,26,997,Western Europe
Mongolia,122,78,250173,16,50443,28,89171,Eastern Asia
Montenegro,127,83,51988,16,9822,28,17363,Southern Europe
Morocco,135,91,3319524,16,570427,28,1008375,Northern Africa
Mozambique,147,103,3118416,16,474931,28,839561,Sub-Saharan Africa
Myanmar,130,86,4666125,16,845282,28,1494251,South-eastern Asia
Namibia,136,92,229344,16,39015,28,68968,Sub-Saharan Africa
Nauru,118,79,850,13,138,26,276,Micronesia
Nepal,123,79,2249412,16,447447,28,790975,Southern Asia
Netherlands,87,50,854855,11,188068,26,437180,Western Europe
New Caledonia,118,79,22254,13,3623,26,7231,Melanesia
New Zealand,90,61,291769,3,14923,26,122306,Australia and New Zealand
Nicaragua,124,80,524188,16,102373,28,180970,Latin America and the Caribbean
Niger,147,103,2393877,16,364585,28,644496,Sub-Saharan Africa
Nigeria,233,189,37941470,16,3143117,28,5556257,Sub-Saharan Africa
North Macedonia,127,83,172480,16,32586,28,57605,Southern Europe
Northern Mariana Islands,118,79,4501,13,733,26,1463,Micronesia
Norway,98,79,423857,14,74088,5,26685,Northern Europe
Oman,134,95,470297,13,63736,26,127213,Western Asia
Pakistan,118,74,15947645,16,3387131,28,5987614,Southern Asia
Palau,118,79,1416,13,231,26,460,Micronesia
Panama,113,74,313897,13,54402,26,108582,Latin America and the Caribbean
Papua New Guinea,135,91,798767,16,137260,28,242642,Melanesia
Paraguay,116,72,510256,16,110179,28,194770,Latin America and the Caribbean
Peru,116,72,2354806,16,508472,28,898853,Latin America and the Caribbean
Philippines,130,86,9334477,16,1690968,28,2989216,South-eastern Asia
Poland,95,56,2119455,13,485392,26,968807,Eastern Europe
Portugal,123,84,861786,13,131011,26,261488,Southern Europe
Puerto Rico,113,74,216839,13,37581,26,75008,Latin America and the Caribbean
Qatar,134,95,267724,13,36283,26,72418,Western Asia
Republic of Korea,110,71,3657764,13,656263,26,1309852,Eastern Asia
Republic of Moldova,120,76,307419,16,63238,28,111789,Eastern Europe
Romania,109,70,1352979,13,248086,26,495161,Eastern Europe
Russian Federation,75,33,4868564,14,2001062,28,4033088,Eastern Europe
Rwanda,208,164,2075405,16,197489,28,349112,Sub-Saharan Africa
