Country,UN Region,IMF_Estimate,Year,WB_Estimate,Year,CIA_Estimate,Year
Barbados,Americas,18858,2023,17837,2022,13800,2021
Brazil,Americas,18686,2023,17822,2022,14100,2020
Azerbaijan,Asia,18669,2023,17764,2022,14400,2021
Equatorial Guinea,Africa,18510,2023,17396,2022,14600,2021
Saint Lucia,Americas,18435,2023,17756,2022,13000,2021
Suriname,Americas,18427,2023,17620,2022,14800,2021
Saint Vincent and the Grenadines,Americas,17793,2023,17207,2022,13700,2021
French Polynesia,Oceania,—,—,—,—,17000,2015
Egypt,Africa,16979,2023,15091,2022,11600,2021
Moldova,Europe,16840,[n 6]2023,15238,[n 6]2022,14000,[n 6]2021
Cook Islands,Oceania,—,—,—,—,16700,2016
Palau,Oceania,16394,2023,15145,2021,13800,2021
Peru,Americas,16132,2023,15048,2022,12500,2021
South Africa,Africa,16091,2023,15905,2022,13300,2021
Indonesia,Asia,15855,2023,14653,2022,11900,2021
Fiji,Oceania,15727,2023,14125,2022,10400,2021
Kosovo,Europe,15620,2023,14723,2022,11900,2021
Paraguay,Americas,15578,2023,15977,2022,13700,2021
Mongolia,Asia,14939,2023,14230,2022,11700,2021
Vietnam,Asia,14458,2023,13457,2022,10600,2021
Sri Lanka,Asia,14223,2023,14405,2022,13400,2021
Bhutan,Asia,14170,2023,11983,2021,10900,2021
Dominica,Americas,14161,2023,13573,2022,10900,2021
Ukraine,Europe,13901,[n 7]2023,12671,[n 7]2022,12900,[n 7]2021
Ecuador,Americas,13513,2023,12822,2022,10700,2021
Algeria,Africa,13507,2023,13210,2022,11000,2021
Tunisia,Africa,13270,2023,12490,2022,10400,2021
Iraq,Asia,12927,2023,10862,2022,9000,2021
Jordan,Asia,12893,2023,11003,2022,9200,2021
Jamaica,Americas,12887,2023,11822,2022,9600,2021
Cuba,Americas,—,—,—,—,12300,2016
Anguilla,Americas,—,—,—,—,12200,2008
El Salvador,Americas,11647,2023,11096,2022,9100,2021
Eswatini,Africa,11492,2023,10782,2022,8900,2021
Namibia,Africa,11440,2023,11206,2022,9100,2021
Philippines,Asia,11420,2023,10133,2022,8100,2021
Lebanon,Asia,11377,2020,14257,2021,13000,2021
Nauru,Oceania,11342,2023,13118,2022,11900,2021
American Samoa,Oceania,—,—,—,—,11200,2016
Belize,Americas,10939,2023,11451,2022,8800,2021
Guatemala,Americas,10546,2023,10818,2022,8900,2021
Morocco,Africa,10460,2023,9519,2022,8100,[n 8]2021
Bolivia,Americas,10327,2023,9684,2022,8100,2021
Uzbekistan,Asia,10308,2023,9533,2022,7700,2021
Laos,Asia,9801,2023,9384,2022,7800,2021
Cape Verde,Africa,9661,[n 9]2023,9083,[n 9]2022,6100,[n 9]2021
India,Asia,9073,2023,8379,2022,6600,2021
Bangladesh,Asia,8663,2023,7395,2022,5900,2021
Venezuela,Americas,8028,2023,17402,2011,7704,2018
"Saint Helena, Ascension andTristan da Cunha",Africa,—,—,—,—,7800,2010
Nicaragua,Americas,7601,2023,6875,2022,5600,2021
Mauritania,Africa,7437,2023,6424,2022,5300,2021
Honduras,Americas,7228,2023,6741,2022,5600,2021
Angola,Africa,7222,2023,6974,2022,5900,2021
Tonga,Oceania,7125,2023,6749,2021,6100,2021
Ivory Coast,Africa,7011,2023,6538,2022,5300,2021
Ghana,Africa,6974,2023,6498,2022,5400,2021
Djibouti,Africa,6894,2023,5893,2022,4900,2021
Pakistan,Asia,6836,2023,6437,2022,5200,2021
Palestine,Asia,6688,[n 10]2023,6200,[n 10]2021,5600,[n 11]2021
Kenya,Africa,6569,2023,5764,2022,4700,2021
Samoa,Oceania,6324,2023,6041,2022,5500,2021
Kyrgyzstan,Asia,6250,2023,6133,2022,4800,2021
Nigeria,Africa,6178,2023,5860,2022,4900,2021
Cambodia,Asia,6092,2023,5349,2022,4400,2021
Tokelau,Oceania,—,—,—,—,6004,2017
Niue,Oceania,—,—,—,—,5800,2003
Tuvalu,Oceania,5797,2023,5421,2022,4900,2021
Tajikistan,Asia,5293,2023,4885,2022,3900,2021
Congo,Africa,5155,2023,3791,2022,3200,2021
Myanmar,Asia,5132,2023,4870,2022,4400,[n 12]2021
Nepal,Asia,5101,2023,4725,2022,3800,2021
São Tomé and Príncipe,Africa,4874,2023,4738,2022,4100,2020
Marshall Islands,Oceania,4669,2023,7228,2022,6000,2021
Cameroon,Africa,4665,2023,4408,2022,3700,2021
Papua New Guinea,Oceania,4516,2023,4447,2022,3700,2022
Senegal,Africa,4515,2023,4209,2022,3500,2021
Sudan,Africa,4471,2023,4216,2022,3700,2021
Benin,Africa,4300,2023,4056,2022,3300,2021
Zambia,Africa,4041,2023,3894,2022,3200,2021
Micronesia,Oceania,3931,2023,3855,2022,3300,2021
Wallis and Futuna,Oceania,—,—,—,—,3800,2004
Ethiopia,Africa,3724,2023,2812,2022,2300,2021
East Timor,Asia,3637,2023,4828,2022,5000,2021
Tanzania,Africa,3600,2023,3097,2022,2600,2021
Comoros,Africa,3463,2023,3832,2022,3200,2021
Lesotho,Africa,3251,2023,2695,2022,2300,2021
Haiti,Americas,3248,2023,3305,2022,2900,2021
Uganda,Africa,3224,2023,2694,2022,2200,2021
Guinea,Africa,3218,2023,3187,2022,2600,2021
Rwanda,Africa,3090,2023,2792,2022,2200,2021
Guinea-Bissau,Africa,3072,2023,2190,2022,1800,2021
Vanuatu,Oceania,3001,2023,3289,2022,2800,2021
Syria,Asia,6374,[11]2010,—,—,2900,2015
Gambia,Africa,2804,2023,2510,2022,2100,2021
Togo,Africa,2754,2023,2608,2022,2100,2021
Burkina Faso,Africa,2726,2023,2546,2022,2200,2021
Mali,Africa,2656,2023,2517,2022,2100,2021
Zimbabwe,Africa,2627,2023,2531,2022,2100,2021
Afghanistan,Asia,2456,2020,1674,2021,1500,2021
Solomon Islands,Oceania,2414,2023,2654,2022,2400,2021
Kiribati,Oceania,2381,2023,2365,2022,1900,2021
Eritrea,Africa,2188,2023,1629,2011,1600,2017
Sierra Leone,Africa,2082,2023,1931,2022,1600,2021
Yemen,Asia,2042,2023,3437,2013,2500,2017
Madagascar,Africa,1916,2023,1774,2022,1500,2021
Liberia,Africa,1788,2023,1725,2022,1400,2021
Chad,Africa,1787,2023,1668,2022,1400,2021
North Korea,Asia,—,—,—,—,1700,2015
Malawi,Africa,1682,2023,1732,2022,1500,2021
Niger,Africa,1600,2023,1505,2022,1200,2021
Mozambique,Africa,1556,2023,1468,2022,1200,2021
DR Congo,Africa,1474,2023,1337,2022,1100,2021
Somalia,Africa,1374,2023,1364,2022,1100,2021
Central African Republic,Africa,1127,2023,967,2022,800,2021
Burundi,Africa,891,2023,836,2022,700,2021
South Sudan,Africa,516,2023,1182,2015,1600,2017
